"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id"
"SEC 1 EAST",2.976988,2.901422,2.833198,2.771502,2.711459,2.654004,2.601293,2.552569,2.511422,2.480059,2.463732,2.466231,2.477321,2.474411,2.447876,2.412498,2.397561,2.42795,2.506422,2.607044,2.672042,2.684895,2.667478,2.634225,2.588568,2.539165,2.492281,2.446611,2.400885,2.359921,2.324756,2.296817,2.279902,2.272216,2.284265,2.3432,2.473286,2.655231,12.594,8.396,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:11:09",10000,33.8,"GPGGA",201045,46.04423595,"N",-109.17575725,"W",18415
"SEC 1 EAST",2.985664,2.909302,2.841843,2.778877,2.717872,2.660539,2.606593,2.556842,2.514307,2.481315,2.463633,2.464306,2.473306,2.469284,2.441321,2.404618,2.389143,2.418485,2.495637,2.593831,2.657546,2.66967,2.653221,2.62116,2.575474,2.52757,2.480421,2.433759,2.388563,2.347225,2.312482,2.284723,2.267271,2.259954,2.27271,2.332144,2.464231,2.645573,13.438,8.7829,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:11:55",10000,34.6,"GPGGA",201130,46.0442350333333,"N",-109.175149533333,"W",18418
"SEC 1 EAST",2.942333,2.866946,2.801174,2.741807,2.683974,2.627451,2.575565,2.526947,2.486579,2.457536,2.442984,2.446448,2.459293,2.457753,2.431316,2.395908,2.381946,2.41474,2.496064,2.598506,2.665933,2.67874,2.661305,2.628028,2.581774,2.531224,2.483867,2.437764,2.391619,2.349668,2.313511,2.285648,2.268757,2.261271,2.273593,2.33453,2.467785,2.651927,13.749,9.2279,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:12:13",10000,34.9,"GPGGA",201146,46.04423445,"N",-109.174977766667,"W",18419
"SEC 1 EAST",2.983183,2.909099,2.845973,2.786891,2.725095,2.665733,2.613276,2.566234,2.526345,2.495138,2.477808,2.47911,2.489319,2.486192,2.459408,2.423715,2.408477,2.438195,2.515796,2.61461,2.679493,2.691805,2.674506,2.641312,2.595571,2.545957,2.499273,2.453457,2.407854,2.366641,2.330744,2.303145,2.286094,2.278338,2.290111,2.348407,2.477071,2.657263,13.394,8.9722,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:12:32",10000,34.6,"GPGGA",201204,46.0442345333333,"N",-109.174786933333,"W",18420
"SEC 1 EAST",2.993222,2.916868,2.847061,2.782382,2.720393,2.660325,2.606765,2.557775,2.513565,2.48097,2.463898,2.463308,2.472517,2.469335,2.441153,2.405377,2.390815,2.420336,2.499543,2.600484,2.664866,2.676899,2.659256,2.624407,2.578353,2.528222,2.479851,2.434415,2.388391,2.345965,2.310483,2.282239,2.264268,2.257984,2.270247,2.329402,2.46295,2.646656,11.859,9.0469,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:12:51",10000,34.6,"GPGGA",201223,46.0442341166667,"N",-109.1745851,"W",18421
"SEC 1 EAST",3.108747,3.026673,2.954804,2.886368,2.817729,2.756174,2.700449,2.647384,2.602357,2.567784,2.548256,2.54859,2.558102,2.554113,2.524962,2.4867,2.471159,2.503334,2.586185,2.69203,2.760566,2.771643,2.752479,2.716337,2.667094,2.614013,2.563892,2.514877,2.466629,2.422481,2.384615,2.355767,2.337419,2.329289,2.342201,2.405674,2.544999,2.736665,13.814,8.9983,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:13:12",10000,34.7,"GPGGA",201242,46.0442336166667,"N",-109.1743787,"W",18422
"SEC 1 EAST",3.038598,2.956186,2.884547,2.81713,2.751279,2.691365,2.636416,2.583622,2.538472,2.505778,2.487799,2.488799,2.500172,2.498367,2.470973,2.434044,2.419185,2.453941,2.541242,2.650044,2.71948,2.730797,2.708512,2.668762,2.61901,2.565784,2.516362,2.468575,2.421019,2.37794,2.340986,2.311214,2.292997,2.284883,2.297466,2.358637,2.494856,2.685563,9.8756,9.1334,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:13:38",10000,35,"GPGGA",201303,46.0442331833333,"N",-109.174146683333,"W",18423
"SEC 1 EAST",3.135923,3.050598,2.974524,2.903033,2.834328,2.770186,2.709085,2.651613,2.603272,2.564436,2.541092,2.535882,2.540169,2.532717,2.502086,2.462734,2.445021,2.473895,2.55246,2.651935,2.714456,2.722774,2.701494,2.664443,2.615888,2.564784,2.516563,2.469445,2.42328,2.381155,2.344567,2.316328,2.298274,2.29067,2.303606,2.363624,2.49621,2.681042,11.972,8.8011,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:14:01",10000,35.2,"GPGGA",201329,46.0442328666667,"N",-109.173843,"W",18424
"SEC 1 EAST",3.209321,3.118642,3.038065,2.961411,2.889186,2.822347,2.760068,2.700803,2.648894,2.608587,2.585156,2.580248,2.585256,2.578225,2.546249,2.50605,2.488897,2.518962,2.602429,2.70859,2.77444,2.783322,2.761131,2.720739,2.669751,2.616028,2.564353,2.515255,2.466882,2.422063,2.384739,2.354857,2.335464,2.327998,2.341336,2.403258,2.541822,2.736665,10.314,8.4708,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:14:22",10000,35.3,"GPGGA",201351,46.0442328,"N",-109.173548533333,"W",18425
"SEC 1 EAST",3.160439,3.074814,2.998166,2.926425,2.853383,2.784721,2.726821,2.672739,2.624467,2.586767,2.566074,2.561657,2.568793,2.564591,2.535063,2.496048,2.479595,2.509866,2.594288,2.701424,2.768292,2.778171,2.755894,2.715225,2.66449,2.610344,2.559001,2.510458,2.462743,2.418311,2.38066,2.351211,2.332352,2.32503,2.337301,2.397957,2.534976,2.725909,9.6112,8.939,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:14:45",10000,34.8,"GPGGA",201412,46.04423205,"N",-109.173277766667,"W",18426
"SEC 1 EAST",3.03229,2.955745,2.884513,2.818064,2.756307,2.697854,2.643379,2.590768,2.544564,2.510525,2.491004,2.486079,2.491796,2.486781,2.458536,2.423023,2.408188,2.436729,2.51349,2.608713,2.667045,2.675413,2.655916,2.619838,2.574473,2.525692,2.478878,2.434072,2.389556,2.348388,2.314252,2.287051,2.270032,2.26406,2.27675,2.33467,2.464075,2.640557,11.467,9.7352,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:15:05",10000,34.8,"GPGGA",201435,46.0442315166667,"N",-109.172977733333,"W",18427
"SEC 1 EAST",3.126117,3.04454,2.970042,2.901724,2.833655,2.77129,2.713592,2.658043,2.610959,2.574976,2.553007,2.548978,2.554609,2.547918,2.518229,2.480517,2.464361,2.493888,2.573993,2.673354,2.7351,2.742663,2.721156,2.684164,2.635956,2.584278,2.536015,2.48912,2.442211,2.40015,2.363609,2.335163,2.317885,2.310603,2.323513,2.385073,2.518885,2.703514,13.224,9.0428,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:15:24",10000,35.2,"GPGGA",201455,46.0442313166667,"N",-109.17271665,"W",18428
"SEC 1 EAST",2.978034,2.901514,2.833451,2.769883,2.705782,2.647235,2.594168,2.542157,2.496769,2.462361,2.440465,2.434829,2.437435,2.428883,2.399961,2.365119,2.34868,2.373988,2.443396,2.529605,2.583098,2.591043,2.572984,2.540659,2.498427,2.451712,2.40775,2.365248,2.321601,2.282718,2.250029,2.224101,2.208304,2.202286,2.214185,2.270771,2.394213,2.560575,13.823,9.2404,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:15:41",10000,35.2,"GPGGA",201514,46.0442306166667,"N",-109.172470333333,"W",18429
"SEC 1 EAST",3.10058,3.018805,2.945229,2.876012,2.809413,2.745728,2.687709,2.635252,2.588022,2.552218,2.531782,2.528054,2.533966,2.528399,2.498029,2.460283,2.445104,2.474601,2.553852,2.654804,2.717533,2.726205,2.706306,2.669573,2.621856,2.570643,2.52079,2.473275,2.426908,2.383334,2.347387,2.318445,2.300197,2.293468,2.307128,2.368239,2.503332,2.688736,12.36,9.1183,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:15:58",10000,35.5,"GPGGA",201531,46.0442301333333,"N",-109.17224665,"W",18430
